SEASON,CLUE VALUE,CLUE CATEGORY,QUESTION,OUR MODEL_ANSWER,REAL ANSWER,CORRECT,CONTEXT USED
34,200,REJECTED GREETING CARDS,"\""Have fun in"" this country! ""But remember the State Department travel warning of Taliban insurgents in Kabul!\""","against the advice of the U.S. Department of State, and engaged in dealings and negotiations with Taliban officials until the collapse of the Taliban regime.",Afghanistan,False,"Global Relief Foundation . In November 2001, during the airstrikes in Afghanistan, a GRF medical relief coordinator traveled to Kabul, against the advice of the U.S. Department of State, and engaged in dealings and negotiations with Taliban officials until the collapse of the Taliban regime."
34,400,REJECTED GREETING CARDS,"\""It's OK, applicant! You didn't want to go to"" this Calif. university a 6-mile drive from the Googleplex ""anyway\""",University of Houston,Stanford,False,"Lauro Cruz . Born in Beaumont to Manuel Cruz and Margarita Menchaca, Lauro Cruz moved to Houston, Texas with his family when he was six months old, where his father owned and operated a grocery store. He enlisted for the United States Marine Corps Reserve during the Korean War in his second year of high school, and completed his GED in the Marines before being honorably discharged. Upon returning to Houston, he applied to be a bus driver with the Metropolitan Transit Authority of Harris County and became their first Mexican-American driver. Later, he decided he wanted to attend college, explaining ""I…wanted to go to college and the problem was I didn't know how to enroll. So, I just went over to the University of Houston and I said how do I get in here, you know? Somebody said you go to the admissions office and I said OK. Anyway, I ended up there."" He received a BA in Political Science from the University of Houston."
34,600,REJECTED GREETING CARDS,"\""Tummyache? Next time, take a close look at"" this ""C"" food ""casino"", made with wine, Parmesan & bacon",,clams,False,No Context
34,800,REJECTED GREETING CARDS,"\""Nice surgery! You finally vented"" this soft, purplish organ, that filters blood & stores platelets",The spleen,spleen,True,"Splenic injury . The spleen is an organ in the left upper quadrant of the abdomen that filters blood by removing old or damaged blood cells and platelets. While not essential to sustain life, the spleen performs protective immunological functions in the body. It also helps the immune system by destroying bacteria and other foreign substances by opsonization and phagocytosis, and by producing antibodies. It also stores approximately 33 percent of all platelets in the body."
34,1000,REJECTED GREETING CARDS,"\""Sorry you two had"" these 14-letter ""differences"" that couples often cite as legal grounds for divorce","""irreconcilable differences"",",irreconcilable,True,"Tony Parker . On 17 November 2010, Longoria filed for divorce in Los Angeles, citing ""irreconcilable differences"", and seeking spousal support from Parker. The couple had a prenuptial agreement that was signed in June 2007, the month before their wedding, and amended two years later in June 2009. Longoria believed that Parker had been cheating on her with another woman; ""Extra"" identified the other woman as Erin Barry, the wife of Brent Barry, Parker's former teammate, and revealed that the Barrys were also in the midst of a divorce. On 19 November 2010, Parker filed for divorce from Longoria in Bexar County, Texas on the grounds of ""discord or conflict of personalities"", thus establishing a legal battle over where the divorce case would be heard. Unlike Longoria's divorce petition, Parker's did not mention a prenuptial agreement and claimed that the parties ""will enter into an agreement for the division of their estate"". The divorce was finalized in Texas on 28 January 2011, the same day Longoria's lawyer filed papers to dismiss her Los Angeles petition."
34,600,NAME HER SPORT,Sue Bird,Bird played in a game against Notre Dame,basketball,False,"Sue Bird . During her junior year, Bird played in a game against Notre Dame referred to as ""the best women's basketball game ever played"". The game was memorialized in a book, ""Bird at the Buzzer"", in which Bird took the eponymous shot at the buzzer to win the game."
34,800,NAME HER SPORT,Gabrielle Reece,"January 6, 1970",volleyball,False,"Gabrielle Reece . Gabrielle Allyse Reece (born January 6, 1970) is an American professional volleyball player, sports announcer, fashion model and actress."
34,1000,NAME HER SPORT,Simona Halep,Simona Halep . Simona Halep,tennis,False,Simona Halep . Simona Halep
34,200,SELF-HELP BOOKS,"Don't procrastinate, get your copy of Eckhart Tolle's spiritual self-help book ""The Power of"" this",The Power of Now,now,False,"Eckhart Tolle . Eckhart Tolle ( ; , born Ulrich Leonard Tölle, February 16, 1948) is a spiritual teacher. He is a German-born resident of Canada best known as the author of ""The Power of Now"" and """". In 2008, a ""New York Times"" writer called Tolle ""the most popular spiritual author in the United States"". In 2011, he was listed by ""Watkins Review"" as the most spiritually influential person in the world. Tolle is not identified with any particular religion, but he has been influenced by a wide range of spiritual works."
34,400,SELF-HELP BOOKS,"In dealing with others, we need to set these lines, the title of a book subtitled ""When to Say Yes, How to Say No\""",,boundary,False,No Context
34,600,SELF-HELP BOOKS,"\""Quantum Healing"" & other books by this New Delhi-born man aim to put you on the path to wellness",Richard Feynman.,Deepak Chopra,False,"What Do You Care What Other People Think? . ""What Do You Care What Other People Think?"": Further Adventures of a Curious Character (1988) is the second of two books consisting of transcribed and edited, oral reminiscences from American physicist Richard Feynman. It follows ""Surely You're Joking, Mr. Feynman!"". Richard Feynman received the Nobel Prize in Physics in 1965 for his contributions to the development of quantum electrodynamics. He is a theoretical physicist known for his work in the path integral formulation of quantum mechanics, the theory of quantum electrodynamics, and the physics of the superfluidity of supercooled liquid helium, as well as in particle physics for which he proposed the parton model. For his contributions to the development of quantum electrodynamics, Feynman, jointly with Julian Schwinger and Shin'ichirō Tomonaga, was awarded the Nobel Prize in Physics in 1965."
34,800,SELF-HELP BOOKS,"One purpose of this evangelical leader's ""The Purpose Driven Life"" is to answer the question ""What am I here for?\""","""What is the meaning of life?"", pertains to the significance of living or existence in general.",Rick Warren,False,"Meaning of life . The meaning of life, or the answer to the question ""What is the meaning of life?"", pertains to the significance of living or existence in general. Many other related questions include: ""Why are we here?"", ""What is life all about?"", or ""What is the purpose of existence?"" There have been a large number of proposed answers to these questions from many different cultural and ideological backgrounds. The search for life's meaning has produced much philosophical, scientific, theological, and metaphysical speculation throughout history. Different people and cultures believe different things for the answer to this question."
34,1000,SELF-HELP BOOKS,"This self-help guru penned bestsellers like ""Your Erroneous Zones"" and ""The Power of Intention\""",Wayne Dyer,(Wayne) Dyer,False,"Your Erroneous Zones . Your Erroneous Zones is the first self-help book written by Wayne Dyer and issued on August 1, 1976. It is one of the top-selling books of all time, with an estimated 35 million copies sold. The book spent 64 weeks on ""The New York Times"" bestseller list through November 13, 1977, including a spot at number one on the week of May 8, 1977."
